Gene	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
MTRNR2L2	64012	42018	64404	71786	53615	40963
MTRNR2L8	27844	19300	28237	42051	23639	16640
B2M	12712	22393	28881	10345	8206.5	20072
TMSB4X	9198.4	14288	12888	6750.8	5158.8	13083
CD74	19073	1819.4	3359.3	5182.3	297.81	25444
ACTB	6780.7	10631	11849	3428.7	7317.8	10275
FTL	3098.3	1706.6	1883.4	1253.7	4863	35229
RPL41	8222	8104.3	4938.6	3575.6	6477.7	4518.5
RPS18	7806.1	7504.2	4021.3	4979.7	6595.4	2877.8
HLA-B	4232.3	6927	6738.4	7162.6	2293.2	6182.7
RPLP1	6856.6	7185	4549.6	4726.9	5370.7	3707.8
MTRNR2L1	6014.4	4056	4837.9	8083.6	5267	3775.3
EEF1A1	6797.3	6812	5256.1	5374.4	4622.5	3062.6
RPS27	7463.6	8709.3	5778	2933.8	3548.7	3248.9
HLA-DRA	9326.2	361.36	885.32	2198	199.73	17555
RPL3	6043.6	6030.4	3887.1	5039.1	4083.3	2334
RPS12	5860.1	5894.8	3238.7	3224.4	3904.2	2571.4
RPL19	5809.2	5371	3034.6	3735.9	4023	2297
TPT1	4054.7	5443.8	2645.1	4687.3	3781.2	3399
GAPDH	2209	3180.6	4243.1	3761	3728.1	5002.4
RPS6	5772.4	4978.6	3055.3	3095.5	3155.6	1721.6
RPL18A	5373.1	4549	2783	3260.5	3567.8	2096.9
RPS4X	5034.8	4733.5	2783.3	3217.7	3485	2238.1
HLA-A	2062.2	4712.5	4999.5	4172.4	1757.1	3480.5
RPS8	5929.4	4066.9	2106.2	3645.3	3383.6	1899.5
ACTG1	2247.3	3200.5	3392.8	4291.2	5585.2	2297.6
RPS14	5164.7	4952	2907	2535.6	2781.2	2336.9
FTH1	1380.8	1913.6	1453.8	1072.5	3015.6	11780
FOS	588.81	2663.7	1287.8	7306.8	5292.3	3114.2
RPL7	4663.5	3747.6	2793.7	3405.6	3448.4	2026.4
RPS3A	5021.9	4460.2	3273.3	2508.8	2426.1	1884.7
UBC	1894.4	2669.5	3689.6	5072.4	3474.9	2372.8
HLA-C	2737.7	3897.3	3955.3	3209.8	1108.4	4216.2
