CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
mix_1	0	0	NA	0	0	0	NA	0
mix_2	0	0	NA	0	0	0	NA	0
mix_3	0	0	0	0	0	0	NA	0
mix_4	0	0	NA	0	0	0	NA	0
mix_5	0	0	NA	0	0	0	NA	0
mix_6	0	0	NA	0	0	0	NA	0
mix_7	0	0	NA	0	0	0	NA	0
mix_8	0	0	NA	0	0	0	NA	0
mix_9	0	0	NA	0	0	0	NA	0
mix_10	0	0	NA	0	0	0	NA	0
mix_11	0	0	NA	0	0	0	NA	0
mix_12	0	0	NA	0	0	0	NA	0
mix_13	0	0	NA	0	0	0	NA	0
mix_14	0	0	NA	0	0	0	NA	0
mix_15	0	0	0	NA	0	0	NA	0
mix_16	0	0	NA	0	0	0	NA	0
mix_17	0	0	0	0	0	0	NA	0
mix_18	0	0	NA	0	0	0	NA	0
mix_19	0	0	NA	0	0	0	NA	0
mix_20	0	0	0	0	0	0	NA	NA
mix_21	0	0	NA	0	0	0	NA	0
mix_22	0	0	NA	0	0	0	NA	0
mix_23	0	0	NA	0	0	0	NA	0
mix_24	0	0	NA	0	0	0	NA	0
mix_25	0	0	NA	0	0	0	NA	0
mix_26	0	0	0	NA	0	0	NA	NA
mix_27	0	0	NA	0	0	0	NA	0
mix_28	0	0	0	0	0	0	NA	NA
mix_29	0	0	NA	0	0	0	NA	0
mix_30	0	0	NA	0	0	0	NA	0
mix_31	0	0	NA	0	0	0	NA	0
mix_32	0	0	NA	0	0	0	NA	0
mix_33	0	0	NA	0	0	0	NA	0
mix_34	0	0	NA	0	0	0	NA	0
mix_35	0	0	NA	0	0	0	NA	0
mix_36	0	0	NA	0	0	0	NA	0
mix_37	0	0	NA	0	0	0	NA	0
mix_38	0	0	0	NA	0	0	NA	NA
mix_39	0	0	0	NA	0	0	NA	0
mix_40	0	0	NA	0	0	0	NA	0
mix_41	0	0	NA	0	0	0	NA	0
mix_42	0	0	0	0	0	0	NA	0
mix_43	0	0	NA	NA	0	0	NA	0
mix_44	0	0	NA	0	0	0	NA	0
mix_45	0	0	NA	0	0	0	NA	0
mix_46	0	0	0	0	0	0	NA	NA
mix_47	0	0	NA	0	0	0	NA	0
mix_48	0	0	NA	0	0	0	NA	0
mix_49	0	0	NA	0	0	0	NA	0
mix_50	0	0	0	0	0	0	NA	0
mix_51	0	0	NA	0	0	0	NA	0
mix_52	0	0	0	0	0	0	NA	0
mix_53	0	0	NA	0	0	0	NA	0
mix_54	0	0	0	0	0	0	NA	NA
mix_55	0	0	NA	0	0	0	NA	0
mix_56	0	0	NA	0	0	0	NA	0
mix_57	0	0	NA	0	0	0	NA	0
mix_58	0	0	NA	0	0	0	NA	0
mix_59	0	0	NA	0	0	0	NA	0
mix_60	0	0	NA	0	0	0	NA	0
mix_61	0	0	0	0	0	0	NA	NA
mix_62	0	0	0	0	0	0	NA	0
mix_63	0	0	NA	0	0	0	NA	0
mix_64	0	0	NA	0	0	0	NA	0
mix_65	0	0	NA	NA	0	0	NA	0
mix_66	0	0	NA	0	0	0	NA	0
mix_67	0	0	0	NA	0	0	NA	0
mix_68	0	0	0	NA	0	0	NA	NA
mix_69	0	0	NA	0	0	0	NA	0
mix_70	0	0	NA	NA	0	0	NA	0
mix_71	0	0	NA	0	0	0	NA	0
mix_72	0	0	0	0	0	0	NA	0
mix_73	0	0	NA	NA	0	0	NA	0
mix_74	0	0	NA	0	0	0	NA	0
mix_75	0	0	NA	0	0	0	NA	0
mix_76	0	0	NA	0	0	0	NA	0
mix_77	0	0	0	0	0	0	NA	NA
mix_78	0	0	NA	0	0	0	NA	0
mix_79	0	0	NA	0	0	0	NA	0
mix_80	0	0	NA	0	0	0	NA	0
mix_81	0	0	NA	0	0	0	NA	0
mix_82	0	0	NA	0	0	0	NA	0
mix_83	0	0	NA	0	0	0	NA	0
mix_84	0	0	NA	0	0	0	NA	0
mix_85	0	0	NA	0	0	0	NA	0
mix_86	0	0	0	0	0	0	NA	NA
mix_87	0	0	NA	0	0	0	NA	0
mix_88	0	0	NA	0	0	0	NA	0
mix_89	0	0	0	0	0	0	NA	NA
mix_90	0	0	NA	0	0	0	NA	0
mix_91	0	0	NA	0	0	0	NA	0
mix_92	0	0	NA	0	0	0	NA	0
mix_93	0	0	NA	0	0	0	NA	0
mix_94	0	0	NA	0	0	0	NA	0
mix_95	0	0	NA	0	0	0	NA	0
mix_96	0	0	NA	NA	0	0	NA	0
mix_97	0	0	NA	0	0	0	NA	0
mix_98	0	0	NA	0	0	0	NA	0
mix_99	0	0	0	0	0	NA	NA	NA
mix_100	0	0	NA	0	0	0	NA	0
