	B-cells	Basophils	CD4+ T-cells	CD8+ T-cells	Endothelial cells	Eosinophils	Fibroblasts	Macrophages	Mast cells	Monocytes	NK cells	Neutrophils
Mix_1	0.0923	0.061	0	0	0.0044	3.00E-04	0	0	0	0.1188	0.0577	0.0043
Mix_2	0.2141	0.0542	0	0	0.0027	0	0	0	0	0.0521	0.0477	0
Mix_3	0.0655	0.0603	0	0.0183	0.0013	0	0	0	0	0.0504	0.0957	0
Mix_4	0.1234	0.0495	0	0.012	8.00E-04	0	0	0	0	0.0291	0.0919	0
Mix_5	0.2817	0.0287	0	0	0	0	0	0	0	0.0016	0.073	0
Mix_6	0.1563	0.0883	0	0	0	0	0	0	0	0.1174	0.0241	0.006
Mix_7	0.1681	0.0379	0	0.0255	0.0045	0	0	0	0	0.0146	0.0647	0
Mix_8	0.2121	0.0393	0.0013	1.00E-04	0.0042	8.00E-04	0	0	0	0.087	7.00E-04	0
Mix_9	0.1982	0.0522	0	0	0.0019	0	0	0	0	0.0458	0.0639	0
Mix_10	0.2263	0.0559	0	0	0	0	0	0	0	0.0775	0.0316	0.0025
Mix_11	0.185	0.0409	0	0	0.0093	0	0	0	0	0.033	0.0624	0
Mix_12	0.0313	0.0269	0	0.0063	0.0015	0	0	0	0	0.1128	0.0871	7.00E-04
Mix_13	0.2599	0.0379	0	0	0	0	0	0	0	0.0307	0.0509	0
Mix_14	0.0895	0.0149	0	0.0363	0.0036	0	0	0	0	0.0021	0.1106	0
Mix_15	0.1231	0.0264	0.0012	0.0197	0.0055	0	0	0	0	0.0414	0.0567	0
Mix_16	0.1982	0.0312	0	0.0134	0.0025	0	0	0	0	0.065	0.0289	0
Mix_17	0.1488	0.0186	0	0.0264	0.0031	0	0	0	0	0.0371	0.0564	0
Mix_18	0.1295	0.0087	0.0164	0.0043	0.0156	2.00E-04	0.0052	0	0	0.0605	0.031	0
Mix_19	0.0725	0.0506	0	5.00E-04	0	0	0	0	0	0.1083	0.0658	0.0027
Mix_20	0.2139	0.0576	0	0	0	0	0	0	0	0.0757	0.0293	0
Mix_21	0.2	0.0518	0	0	0	0	0	0	0	0.1058	0.011	0
Mix_22	0.0781	0.0541	0	0	0	0	0	0	0	0.1296	0.0528	0.0016
Mix_23	0.2706	0.0252	0	0	0	0	0	0	0	0.0465	0.0328	0
Mix_24	0	0	0.0224	0.0443	0.017	0	0.0107	0	0	0.0851	0.0203	0
Mix_25	0.2559	0.0404	0	0.0099	0	0	0	0	0	0.0075	0.0539	0
Mix_26	0.1928	0.0112	0	0.0307	0	0	0	0	0	0.0332	0.0401	0
Mix_27	0.2285	0.0562	0	0.0045	0	0	0	0	0	0.0916	0	0.0015
Mix_28	0.166	0.0506	0	0	4.00E-04	0	0	0	0	0.0962	0.04	0
Mix_29	0.2271	0.0245	0	0.0221	0.0035	0	0	0	0	0.0306	0.0315	0
Mix_30	0.1582	0.0426	0	0.0154	4.00E-04	0	0	0	0	0.002	0.0982	0
Mix_31	0.2115	0.0438	0	0.0062	4.00E-04	0	0	0	0	0.0552	0.0375	0
Mix_32	0.1237	0	0.0129	0.0139	0.013	0.0035	0.0074	0	0	0.0811	0.0272	0
Mix_33	0.0765	0.0111	0	0.0285	0.0038	0	0	0	0	0.0869	0.0564	0
Mix_34	0.1862	0.0822	0	0	0	8.00E-04	0	0	0	0.1135	0.0223	0.0047
Mix_35	0.1667	0.0453	0	0	0.0032	0	0	0	0	0.0346	0.0827	0
Mix_36	0.1973	0.0537	0	0.0052	4.00E-04	0	0	0	0	0.0413	0.0593	0
Mix_37	0.0939	0.0677	0	0.0089	0.0013	0	0	0	0	0.0542	0.0909	9.00E-04
Mix_38	0.0457	0.0287	0	0.0086	0.0074	0	0	0	0	0.1037	0.0783	3.00E-04
Mix_39	0.2416	0.0342	0	0	0	0.0034	0	0	0	0.1206	0	0.0012
Mix_40	0.1793	0.0872	0	0	0	0	0	0	0	0.0211	0.0778	0
Mix_41	0.145	0.0825	0	0	0.0016	0	0	0	0	0.0506	0.0809	0.0019
Mix_42	0.2089	0.0269	7.00E-04	0.0285	0	0	0	0	0	0.0307	0.0138	0
Mix_43	0.2135	0.0684	0	0	0	0	0	0	0	0.0754	0.0419	0.0019
Mix_44	0.0791	0.058	0	0	0.0032	0	0	0	0	0.0922	0.0813	0.0014
Mix_45	0.1185	0.0115	0	0.031	0.001	0	0	0	0	0.078	0.0565	9.00E-04
Mix_46	0.2215	0.0502	0	0.0258	3.00E-04	0	0	0	0	0.0638	0	0
Mix_47	0.1658	0.0511	0	0	0	0	0	0	0	0.1065	0.0477	0.0011
Mix_48	0.2027	0.0349	0	0	8.00E-04	0	0	0	0	0.0458	0.0596	0
Mix_49	0.1059	0.0397	0	0.0098	0.0016	0	0	0	0	0.0122	0.116	0
Mix_50	0.0924	0	0.0031	0.045	0	0.002	0	0	0	0.0783	0.0317	0
Mix_51	0.1964	0.0351	0	0.0011	0.0018	0	0	0	0	0.0586	0.0435	0
Mix_52	0.0334	0.0243	0	0.0379	9.00E-04	0	0	0	0	0.0559	0.089	2.00E-04
Mix_53	0.1772	0.0355	0	0.0082	0	0	0	0	0	0.1013	0.0285	0
Mix_54	0.0643	0.0724	0	0	0	0	0	0	0	0.0982	0.088	0.0091
Mix_55	0.0279	0.0497	0	0.0163	0	0	0	0	0	0.0476	0.108	0.0015
Mix_56	0.0991	0.0208	0	0.036	0.0047	0	0	0	0	0.089	0.0362	0
Mix_57	0	0.025	0	0	0.0072	7.00E-04	0	0	4.00E-04	0.0614	0.1296	0.0037
Mix_58	0.1144	0.0012	0	0.0239	0.0069	0	0.0015	0	0	0.0503	0.066	0
Mix_59	0.0803	0.0675	0	0	0.0016	0	0	0	0	0.0376	0.1154	0.0016
Mix_60	0.2838	0	0	0.0383	0	0	0	0	0	0	0.0211	0
Mix_61	0.2421	0.0647	0	0	0	0	0	0	0	0.0596	0.0439	0.0019
Mix_62	0.2728	0.0342	0	0	0	0	0	0	0	0	0.0809	0
Mix_63	0.0315	0.0657	0	0	0.0052	0	0	0	0	0.0989	0.0926	0.0049
Mix_64	0.1729	0.05	0	0	0	0	0	0	0	0.1176	0.0263	0.0026
Mix_65	0.183	0.0446	0	0.0033	0	0	0	0	0	0.0974	0.0272	3.00E-04
Mix_66	0.2136	0.031	0	0.008	0	0	0	0	0	0.0141	0.0715	0
Mix_67	0.2715	0.062	0	0	0	0	0	0	0	0.0907	0.007	0.0026
Mix_68	0.1338	0.016	0	0.035	0.0019	0	0	0	0	0.0798	0.0211	0
Mix_69	0.2613	0.0459	0	0	0	0	0	0	0	0.034	0.047	0
Mix_70	0.1312	0.01	0	0.0328	0.0012	0	0	0	0	0.0664	0.0343	0
Mix_71	0.1508	0.0686	0	0.0053	0	0	0	0	0	0.0391	0.0787	0.002
Mix_72	0.1114	0.0251	0.0054	0.0116	0.0103	0.0029	0	0	0	0.1185	0.0046	0
Mix_73	0.0294	0.04	0	0.0185	0.0016	0	0	0	0	0.0426	0.1175	5.00E-04
Mix_74	0.2262	0.0795	0	0	0	0	0	0	0	0.0666	0.043	0.0032
Mix_75	0.141	0.0695	0	0	0.0024	0	0	0	0	0.0175	0.1004	0
Mix_76	0.1429	0.0653	0	0	7.00E-04	0	0	0	0	0.0109	0.1033	0
Mix_77	0.1298	0.0499	0	0	0.0033	0	0	0	0	0.1031	0.058	0.0027
Mix_78	0.0617	0.0107	0	0.0371	0.0028	0	0	0	0	0.0067	0.1049	0
Mix_79	0.0505	0.0728	0	0	0.0046	0	0	0	0	0.0765	0.1069	0.0077
Mix_80	0.1709	0.0287	0	0	8.00E-04	0	0	0	0	0.0678	0.0594	0
Mix_81	0.153	0.0663	0	0	3.00E-04	0	0	0	0	0.0724	0.066	0.002
Mix_82	0.2003	0	0	0.0208	0.0011	0	0	0	0	0	0.095	0
Mix_83	0.2191	0.0556	0	0	0	0	0	0	0	0.0623	0.0495	8.00E-04
Mix_84	0.1578	0.0325	0	0.0185	0.0026	0	0	0	0	0.0836	0.0342	0
Mix_85	0.1662	0.0493	0	0.0022	0.0012	0	0	0	0	0.0089	0.0958	0
Mix_86	0.1136	0.0622	0	0	0	0	0	0	0	0.0787	0.0783	0.0031
Mix_87	0.3032	0.0503	0	0	0	0	0	0	0	0.0709	0.0106	0.0028
Mix_88	0.234	0.0368	0.0024	0.0193	0	0	0	0	0	0.0502	0	0
Mix_89	0.0049	0.0344	0	0.0023	0.0068	0	0	0	0	0.121	0.093	0.0026
Mix_90	0.1559	0.0464	0	0	0.0035	0	0	0	0	0.0061	0.1123	0
Mix_91	0.3148	0.0373	0	0	0	0	0	0	0	0.0155	0.0338	0
Mix_92	0.1727	0.0685	0	0	0	0	0	0	0	0.0578	0.0737	0
Mix_93	0.1188	0.0372	0.0091	0.0093	0.0095	0.0062	0	0	0	0.1177	0	0
Mix_94	0.2543	0.031	0	0.0107	2.00E-04	0	0	0	0	0.0498	0.0091	0
Mix_95	0.1358	0.0483	0	0	0.0031	0	0	0	0	0.0417	0.0793	0
Mix_96	0.0775	0.0304	0	0.024	0.004	0	0.0019	0	0	0.0663	0.064	0
Mix_97	0.1866	0.0828	0	0	0	0	0	0	0	0.079	0.0499	0.0029
Mix_98	0.2422	0.0563	0	0	0.0067	0.0118	0	0	0	0.1479	0	0.0115
Mix_99	0	0	0.0181	0.0279	0.0126	0	0.008	0	0	0.0295	0.0734	0
Mix_100	0.1593	0.0865	0	0	0	0	0	0	0	0.0991	0.0363	0.0037
