Gene	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
MTATP8P1	23079	14744	19731	864.45	13568	17775
B2M	5354.7	9750.7	12763	28915	8832	8833.8
RP5-857K21.6	16126	15422	15859	473.68	8343.9	10859
MTATP6P1	16687	10441	14268	1336.3	10269	13763
RP5-857K21.11	14871	10439	11844	1261.4	9865.2	13222
RP5-857K21.7	14060	9853.7	12562	1223.8	9841.9	13572
RPS27	14084	3801.7	7362.4	293.66	18489	16993
RN28S1	8367.1	11321	5534.6	5080.8	15551	13640
S100A9	25.407	16584	17.928	42272	9.1191	12.125
EEF1A1	11010	8021.7	7094.8	251.17	16093	14217
HLA-B	5113.4	6333.2	9710	13516	4821	7370.5
MTND2P28	9791.4	6232.6	7774.4	956.17	7501.3	9841.9
AC016596.1	8999	4030.5	4886.5	967.91	10771	9740.2
TMSB4X	3896.2	8078.7	7180.1	7599.9	6291.6	5850.7
AP003035.1	4128.4	5835	3088.4	2302.7	10561	9240.3
FTH1	1681.5	11357	1465.2	16804	1633.6	1856.4
CTB-36O1.4	8866	5161.4	6517	543.41	5949.6	7443.9
MTND4P12	8418.1	5210.2	6364.5	732.7	5709.1	7140.4
TPT1	5117.5	5522.6	3904.4	1812.7	9705	7426.8
RPL10	6429.7	3229.6	4077.7	124.06	8505	7488.6
S100A8	10.126	7376.8	8.1012	21976	3.0142	4.5885
HLA-C	2032.3	3199.8	5559.5	11632	2540.7	3603.6
RPS29	5634.2	2020.8	3006	232.94	9410.8	8117
MTND1P23	6662.4	5290.3	4370.2	1035.5	4754.3	5835.9
AC116340.1	3817.5	5572.5	2844.2	2272.8	7163.8	6063.4
ACTB	1709.7	7213.2	3719.5	8273.4	1515.3	1681.6
CD74	14865	7218.6	583.61	376.52	313.18	612.43
FTL	1341.9	8610.9	934.37	10213	1035	1111
RPS18	5380.4	2135	2178.7	54.334	7119.9	6065.8
RPS11	6650.7	3018.2	2584.6	492.54	5159.3	4721.7
AC112777.1	3066.8	4361.5	2925.5	2391	4847.2	4726.7
RPL13	5166.5	2039.9	2201.4	57.031	6514.5	5911.2
AC006368.1	2869.6	3984.8	1975.6	1696.7	5011.8	4980.1
IFITM2	228.14	517.94	1381.4	17349	473.12	520.61
AC108047.1	2976.3	4049.3	1858.7	1578.4	5034.2	4790.7
RPL30	4401.2	2182.1	2070	448.03	6073.1	5044.1
RPL13A	5125.8	1854.5	2285.2	149.98	5660.6	4891.1
RPL37	4281.6	2173.3	2345.2	332.54	5713.6	5063.8
HLA-A	1750.5	2560	3894.9	5466.1	2305.2	2872.5
RPS25	4107.7	1674.8	1989.3	258	5695.9	4714
RPL31	3688.7	1998	2133.1	115.63	5554.9	4667.1
RPL11	4140.1	2369.9	1722.3	171.28	5373.5	4254.8
RPS3	3516	1548.6	2228.7	207.2	5550.5	4767.1
RPL3	3860.3	1399.2	2423.7	84.535	5168.9	4874.1
RPL19	4077.4	2154.1	1938.6	145.37	5088.8	4345.3
RPL39	4189.2	1836.3	1709.1	254.66	5295.6	4413
AL606830.1	2434.9	3832	1726.9	963.22	4668.1	4006.6
TMSB10	2821.8	4244.5	2809.2	513.26	3778.2	3258
LYZ	20.601	16023	21.725	1040.2	8.6731	11.893
RPL37A	3887.8	2077.3	2163	79.248	4656.7	4142.6
RPL18A	4684.7	1698.8	1557.7	33.281	4819.3	4120.5
RPL27A	3481.7	1802.2	2318	259	4545.9	4336.2
RPS6	3719.4	1527.1	1836.7	126.96	5212.1	4297.4
RPS17	3981.2	1734.4	2044.8	75.242	4670	4207.3
RPS12	3305	1449.8	1528	29.814	5612.9	4757.5
RPL32	3517.7	1479.8	1522.9	103.15	5316.2	4519.2
RPS23	4250.1	1619	1707.8	43.172	4783	3962.4
RPS2	3695.3	1971	1712.6	162.38	4487.7	4196.9
RPS15A	3407.7	1632.5	1840.5	159.99	4811.5	4075.4
RPL8	4611.3	2207	1565.6	115.83	4007.8	3412.7
RPS24	3023.6	2915.1	2279.9	194.56	3666.4	3614
RPS3A	3050.1	1492	1863.5	128.79	4997.2	3875.9
RPS9	3013.8	2670.4	1508.6	1208.1	3569.7	3266.7
RPL34	3120.2	1544.2	1644	190.82	4650.7	3893.6
RPLP1	3421.9	2111.1	1866.8	155.29	3859.3	3488.3
HLA-E	1413.5	1438	2937.9	5453.8	1613.1	1988.3
RPS27A	3056.5	1195	1978.1	166.45	4518.2	3836.4
