Symbol	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)
RPL41	21460	19177.375	19661	22090.25	9818.6	21011.13636	21064.53846
TPT1	15176.25	18338.25	18667.5	20582.58333	13140.6	18144.54545	16522.84615
RPL23A	20493	16101.625	14660	19432.5	4375.2	18614.59091	20821.53846
ZFYVE20	15466.5	16171.25	17926.16667	16740.83333	11930.4	13432.90909	15107.61538
B2M	14697.75	15109.8125	16067.83333	15894.25	17394	13010.09091	13929.5
HUWE1	13622.5	15647.9375	15794.5	16309.25	12485.4	14927.68182	14844.46154
RPS3A	16683.75	14959.25	14427.33333	18162.33333	3919	16080.04545	17388.76923
FTL	15731.25	19135.625	18537.16667	9273.083333	17904.4	7387.227273	12920.23077
RPL21	18871.25	13522.75	13741.16667	15634	4134.8	15834.86364	18652.30769
EEF1A1	14758.5	14882.75	16370.66667	16267.41667	5774.4	15585.72727	15076.65385
HLA-B	8240.75	14468.4375	15748.16667	14586.33333	18648.2	14194.09091	12446.19231
RPS18	15729	13342.9375	13717.33333	16880.83333	2730.4	18252.36364	17092.76923
RPS2	12697.25	14650.4375	15500.66667	16280.66667	4880.2	17660.72727	14725.30769
RPL39	15103.75	14522.25	15590.66667	15442.83333	5653.2	14823.5	15128.76923
RPLP1	16380.5	15556.9375	13272.5	15876.75	3270.6	15505.27273	15756.96154
RPS23	15916.25	13829.625	14243.5	15101	2451.2	15864.54545	16050.11538
HLA-A	8280.75	12911.6875	14159.66667	14417.33333	17376.2	12943.40909	11784.11538
RPL32	14706.25	13328.25	12637.66667	14862.25	2856.2	16419.90909	16919.07692
RPS20	14196.25	12713.125	14013.83333	16110.25	3264.6	15437.86364	14842.65385
RPS11	13134	13490	14876.16667	15818.08333	4801	13873.36364	13192.07692
RPS14	13495.25	12836.75	13210.16667	15484.08333	3709.6	14737.77273	15571.57692
RPS29	15548.25	11685.6875	11392.16667	13478	3509.4	13694.09091	16783.73077
RPS12	14409.5	11156.5	11580.5	14482.41667	1898.4	15934.04545	16252.26923
RPL13A	15606.25	11444.625	10598	13849.08333	2769	16323.68182	14941.46154
RPL30	14099.75	12014.8125	11880.16667	14632.25	3586	14544.36364	14719.96154
RPS10	13725.25	11645.25	11454.5	14886.66667	3182	15436.81818	14043.80769
RPL9	13685	11922.5625	12685.66667	14029.33333	3099	13742.59091	14183.53846
RPS24	11423.5	13021.75	14007	15284.41667	2771	13736.31818	13017.73077
LOC100131754	12508.5	12499.5625	13412.16667	9962.666667	10837	10642	12437.84615
HLA-C	6264.75	11675.125	13552.16667	12698.25	17556.8	11058.95455	9407.192308
RPL34	14949.5	10658.875	10120.33333	12182.58333	3552	13214.95455	16475.84615
TMSB10	12657.5	14558.4375	14285.33333	12736.58333	3168.4	12339.77273	10999.38462
RPS13	12659.75	12856.25	12042.83333	12217.83333	2087.8	12667.22727	13478.57692
RPS6	12580.75	10308.125	10874.16667	12794	2679.2	15314.86364	13273.23077
RPS17	11580	10603.3125	11142.16667	14755	1914.6	14778.68182	12949.38462
EIF1	7408	12575.0625	13030	14376.33333	10168.8	9892.636364	10005.84615
RPL28	9466	10986.6875	12481	14078.41667	3171.8	14109.18182	13004.03846
RPS27A	13386.5	10209.3125	10579.5	13374.83333	2744.8	13074.36364	13859.46154
RPL27	12584	11742.875	11980.16667	12120.33333	2375	12840.68182	12928.65385
RPL3	13566.5	9008.9375	8355.833333	13037.66667	1996	15819.13636	14493.03846
H3F3B	7108	8465.375	7897.666667	12786.25	20509.2	6527.363636	11664.38462
UBC	7873.75	10437	13243	9656.25	11718.6	8489.636364	11377.07692
RPL19	12594.5	10054.5	9775.333333	11401.58333	2033	13921.31818	12565.57692
CFL1	6019.75	12985.3125	15750.66667	8721.166667	11348	10044.13636	6476.423077
RPS3	13719.75	8428.3125	7346.5	10116.5	2449.6	14771.72727	14423.38462
ACTB	10864.5	15265	15643.5	1615.333333	12845.4	9402.590909	4448.269231
RPS4X	10153	9143.9375	8940.833333	11601	1798.4	13251.04545	12591.15385
FTH1	2796.25	13084.6875	17941.83333	7961.666667	16753	4025.318182	4523.153846
RPLP0	12316.5	9349.5	7095	10461.16667	1133.2	12966.45455	13060.76923
RPL36A	10933.25	9738.625	9836.166667	9825.333333	939	11878	12915.11538
RPL11	10549	10001.5625	9728.666667	10714.16667	1691	11236.77273	11648.69231
RPL7	10394.75	9303.875	9233	12405.16667	2406	10755.81818	10979.96154
S100A8	5939.25	21463.6875	10024.5	1372.5	21078.4	2894.590909	2695.653846
UBB	8750.25	8223.1875	8578.166667	14490.66667	6866	8158.272727	10304.61538
RPL14	11609	7505.0625	6772.5	11790.66667	1437.6	12228.45455	13198.30769
CCDC72	8756.5	8058.9375	6907	10599.91667	9978.6	8691.181818	10801.84615
RPL24	9624	8258.375	7967	12025.08333	1618.2	11883.5	12130.15385
S100A4	6064.5	14676.25	13221.66667	7774.583333	7360.2	7535.863636	6821.5
TXNIP	7875.5	8209.5	9272.833333	8245.25	13624.8	9987.772727	6022.230769
NACA	8213.75	9546.1875	10397.66667	11394.33333	2643.4	10273.09091	10037.11538
SRGN	1976.75	11187.6875	9314.166667	10014.58333	18440	3297.136364	8095.153846
FAU	9118	8673.1875	8283.833333	12201.58333	3710.6	9595.727273	10742.03846
RPL7A	9202.5	8017.875	7861.5	12520	1582	12002.90909	10799.69231
ACTG1	6532.75	9664.5	10336.16667	9460.166667	8745.8	9609.590909	6483.576923
RPL13	10117	8256.875	7925.666667	11271.58333	1493.4	12642.59091	8758.038462
RPSA	10062.25	6233.8125	6535.5	11873	1305	12645.81818	11774.03846
RPS7	8800	7984.5	8168.833333	12172.33333	1940.8	11256.36364	9808.576923
EEF1G	11106.25	7847.3125	7659.666667	9027.416667	2134	12353.09091	9819.769231
OAZ1	6006.25	11819.875	12662.16667	4482.166667	12185.2	7624.045455	4384.346154
RPL6	9135	8412.1875	8265.166667	11371.83333	1513.6	10441.22727	9932.615385
HLA-G	4223.25	8334.3125	10925.5	9002.333333	11417.2	8540.5	6174.269231
RPS25	10160.5	7334.8125	7983.666667	9990.333333	1874.2	10013.95455	11160.73077
RPS16	10186.25	7194.625	7137.5	9754.75	1268.8	10923.77273	11951.38462
RPL17	8000.75	7643.375	7658.333333	11632.83333	1814.2	11084.31818	9846.961538
UBA52	8812.25	8289.4375	8079.666667	9252.666667	3676.8	9337.136364	10025.69231
DDX5	7752.25	7230.375	8233.333333	9629.166667	8156	8447.272727	7795.538462
RPL23	10264.5	8789.4375	8220	8046.75	1782.6	9517.181818	10206.07692
IFITM2	4887.75	6264.8125	10073.16667	6528	19425.6	4625.545455	5008.192308
RPL15	10487.25	8099.875	7258	10307.25	1163.4	8466.409091	10962.26923
EEF1B2	10909	6607.5625	5948	9831.25	852	10735.54545	11298.11538
FTHL5	3447.5	10103.375	12194.16667	6147.25	12721.6	4985.454545	6132.346154
RPL29	7507.5	8306.5625	8087.333333	9703.583333	1339.6	11059.54545	9441
RHOA	6905.5	9670.9375	10373.33333	5861.833333	10262.6	6036.954545	5784.038462
RPL4	6887.5	7574.125	7464.833333	9086.25	977.6	11684.36364	8571.461538
ARHGDIB	8137.5	7419.125	7048	5017.833333	10145.6	6563.227273	7504
DAZAP2	5368.25	7491.4375	7046.5	7884.75	11160.6	5624.5	6853.269231
HNRNPA3	9043.75	7614.5	8269.166667	6731.5	4198.8	6492	8979.576923
RPS9	6042.5	7950.4375	8496.833333	8500.583333	3598	8145.136364	8578.961538
RPS5	8235.75	5775.8125	6454.333333	9146.083333	1011	11006.5	9574.115385
RPS8	9979.25	6466.25	6717.833333	8987	1098.2	9153.909091	8460.384615
RPS26	7781	5869.8125	6029.5	12097.16667	1542.2	7757.181818	9478.192308
MALAT1	9246.25	5196	4140	7223.583333	10541	5416.227273	8640.692308
CD52	16420.5	7568.1875	5900.5	3704.166667	1499.2	6937.181818	8185.461538
PTMA	11405	6962.4375	5759.666667	10664.16667	1666.8	5375.272727	7430.076923
RPL22	7898	7178.5	6782.666667	8003.5	880.8	8874.909091	8720.346154
RPL35	8561	5681.5625	5485.333333	9181.666667	785.2	9121.363636	9180.153846
PPIA	8905	7451.25	7574.833333	6218.583333	1704	8015.772727	7928.230769
RPL8	7788	6854.25	7628.833333	7258.666667	1314.2	10343.40909	6316.038462
VIM	2817.25	10528.1875	8212.166667	2786	6789.4	8173.863636	7080.846154
NPM1	8501.25	4994.4375	3891.166667	9063	1276.6	9378.545455	9259.653846
GAPDH	5117.5	10514.875	6806	5848.166667	5209.4	5945.636364	6832.653846
RPL5	8447.5	5967.1875	5139.333333	7519.416667	738	8882.045455	9513.192308
GLTSCR2	5311	4471.4375	5150.666667	9810	880.8	11124.77273	9430.307692
ATP5E	7331.5	7927.625	6955.5	6165.833333	4932	5666.409091	6762.692308
EIF3L	7170.75	7726.3125	6511.833333	7356.333333	1474.4	7770.863636	7479.923077
RPL12	7778.25	5598	5946.666667	7893.25	1088.2	8473.454545	8614.384615
S100A9	600	19279	7143.5	698.8333333	15283	1135.090909	1030.153846
MYL6	4921	7036.5625	8364.5	6181.083333	6949.6	4817.863636	5807.038462
HMGB1	5473	5266.0625	4243.333333	8800.666667	5429	6422.272727	6991.730769
GNAS	4178.75	5668.1875	6467.166667	6370.833333	6602.2	6233.772727	6712.576923
RGS2	489	9957.875	7652.333333	2852.25	17401.8	602.6363636	2943.615385
PABPC3	4449.5	5999.5625	6984.666667	7540.833333	3413	6468.772727	6085.846154
HLA-DRB4	10495	11616.75	11207.33333	2613.333333	931.8	1549.318182	2297.730769
COX4I1	6252.75	6503.125	5279.5	6052.25	2047	5987.5	8412
LAPTM5	4668.75	7475.375	7595.666667	1867.666667	8609.8	5525.318182	4709.538462
COX7C	7624	6218.0625	5527.333333	5113.666667	755.2	6014.863636	8687.192308
IFI30	5430	14453.375	13293.66667	596.6666667	4735.4	748.7272727	477.0384615
ACTR3	4799.5	5822.5	7399.333333	3049.916667	8918.6	6153.454545	3402.423077
SELL	7154.75	6566.5	1913.166667	2193.5	13190.4	5953.636364	2559.384615
PFDN5	6979.5	6357.6875	5733.166667	5427.5	1637.6	5475.272727	7423.807692
EEF1D	5710.75	4649.375	4160.833333	6961.25	1956.8	6726.772727	8860.230769
HLA-DRA	11799.5	11356.0625	10845	1424.25	1149.4	1130.136364	1199.346154
SKP1	6820.75	5153.8125	4620.666667	5700.916667	4178.6	5400.409091	6919.346154
SH3BGRL3	6738.75	9439.8125	6927.666667	1877.666667	4042	3943.409091	5678.961538
TSC22D3	3109.5	3911	5956.5	7226	10209.4	5078.590909	3114.076923
CD53	6570.75	5600.75	5305.166667	2462.166667	9060.6	5367.409091	4074.115385
TUBA1B	5086.75	5712.6875	8603.166667	3297.916667	8433.6	3897.272727	3360.346154
EIF4A2	6127	4053.8125	4925.5	7581.75	2304.2	6907.318182	6280.769231
ATP5L	6600.25	5890.125	4488.166667	4917.5	2078.2	4677.454545	9342
TYROBP	677	11044.8125	10146.33333	5968.333333	8687.2	424.5	686.4230769
PFN1	2571	7014.5	10768.16667	3299.083333	4727.6	6880.636364	2205.961538
PTPRC	4456.75	4054.3125	4616.666667	3730.25	11024.2	4645.454545	4828.192308
NCOA4	2388.5	7089.875	5639.833333	2514	13743	3348.590909	2538.307692
RPL36	7257.25	3924.75	3744.166667	5886.666667	392	7666.909091	7893.5
IFITM3	2717.75	5035.875	9656.333333	4151	9264	2631.181818	3101.346154
MSN	2656.75	5363.5625	7862.166667	4805.666667	7016.2	4725.5	3649.384615
SRP14	5950.5	5081.25	4271	5685.083333	3383.4	4789.681818	6843.230769
PTP4A2	2128.5	4941.125	8076.5	7404.583333	4854.4	4710.681818	3819.115385
GABARAP	4773.25	8422.375	6522.333333	2011.5	7383.2	3225.954545	3549.807692
BTG1	2055.25	2716.75	3378.833333	9090	5926.4	6760.727273	5686.538462
RPL26	4934.75	5423.1875	5933.666667	5693.416667	813.6	6404.590909	6150.076923
IFITM1	1627.75	1062.25	2383.666667	10370.58333	6255.8	5872.681818	7626.884615
PGK1	3523	6305.6875	7712.833333	2701.916667	6018.8	3755.727273	4834.846154
CXCR4	3628.75	2509.1875	2675.666667	6604.916667	8984	5238.5	4937.461538
SERF2	6508	6242.5	4798.5	4796.5	3493.2	4198.181818	4051.923077
SNHG6	4861.25	3855.3125	3136.333333	7355.25	419.8	6347.863636	8040.923077
UQCRB	5264.5	4643.375	4904.5	4893.25	1832	5135.090909	7295
CLEC2B	1604.25	2873.5625	3662.833333	7415.416667	9296.2	2228.636364	6848.5
YWHAZ	4580.5	4099.625	5696	5604.166667	5115	3991.090909	4092.461538
S100A6	2038.5	8149.5	7179.5	3726.25	5879.8	3495.136364	2619.384615
EIF3E	5681.75	5334.6875	3809.166667	5188.5	468	6811.681818	5719.615385
TMEM66	2509.5	3332.4375	4679	5615	4992.6	6269.727273	5564.307692
SAT1	1499.75	6117.0625	8904.166667	2948	9374.8	1604.909091	2440.461538
HSPA8	5337.25	4338.9375	6040.833333	3374.416667	1632.8	7169.318182	4978.576923
PSME1	5709.75	4988.125	4021.333333	4184.666667	4829.4	3964.136364	4981.269231
LCP1	2774.75	5716.625	6278.666667	2447.916667	9363.6	3461.681818	2620.653846
RNASEK	4963.5	6633.6875	4976.5	2527.75	5291.8	3344.409091	4924.807692
SLC25A6	3994	6633.125	7783	4519.166667	452	5789.772727	3405.653846
COX6C	5880	4368.25	3954.666667	5082.416667	442.6	4368.818182	8175.807692
HSP90AA1	2719.5	3567.1875	5540.833333	7912.666667	1966.6	5546	5002.653846
PCBP2	2476.75	4765.875	4468.166667	6502.833333	5635.6	4531.545455	3799.730769
CEBPB	132	5440.5625	10101.33333	4030.166667	10877.2	1080.272727	416.9230769
UBE2D3	2595	4408.9375	4396.166667	4991.666667	7464.8	4188.227273	3961.653846
CNBP	4532	5262.1875	3961.166667	3133.416667	5123.8	4870.090909	5113.423077
TUBA1C	3941	4797.3125	6646.666667	1704.75	9026.6	3023.545455	2585.038462
NOP10	5706.75	4891.0625	3426.666667	1673.166667	10075.8	1878.636364	3949.153846
CAP1	3201.5	4794.125	5389.5	3565.583333	8557.4	3377.5	2680.230769
HMGN2	3320.5	4779.6875	5796.666667	5277	4011.2	4820.954545	3499.884615
ATP5A1	4849	5119.625	4891.5	5560.333333	849.6	5215.681818	4911.423077
UCP2	8907.25	5776	5529.333333	1666.416667	1388.4	4775.045455	3258.115385
MYL12B	4012.75	4338.3125	5027.833333	2993.416667	5306.8	4062.045455	5544.230769
ZFP36	1113.25	5891	8798	3680.083333	8385.6	1684.272727	1645.307692
TUBA1A	2223	4845.875	7310	2367.916667	10088.6	2089.272727	2179.307692
