Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
S10001	0	0.0038	0.0585	0.1283	0.0893	0	0.0305	0.015	0.0132	0.0133	0.0349	0.0574	0.0108	0	0	0	0.0514	0.0696	0.1656	0	0	0	0	0	0	0	0	0	0	0	0	0.0983	0.1601	0
S10006	0	0	0.0686	0.0494	0.096	0	0.0203	0.037	0.0108	0.0176	0.0404	0.0646	0.0122	0	0	0	0.0661	0.0812	0.2075	0	0	0	0	0	0	0	0	0	0	0	0	0.0466	0.1816	0
S1001	0	0.0176	0.0297	0.1384	0.1147	0	0.0209	0.023	0.011	0.018	0.0404	0.0452	0.0094	0	0	0	0.0377	0.0822	0.1459	0.0072	0	0	0	0	0	0.0154	0	0	0	0	0	0.0844	0.159	0
S10010	0	0	0.0436	0.1458	0.1	0	0.021	0.0152	0.0169	0.0081	0.0451	0.0518	0.0081	0	0	0	0.0336	0.0709	0.2292	0	0	0	0	0	0	0	0	0	0	0	0	0.0849	0.1257	0
S10011	0	0	0.0542	0.1026	0.0897	0	0.0273	0.0126	0.0057	0.0066	0.049	0.0491	0.0069	0	0	0	0.0543	0.0746	0.1704	0	0	0	0	0	0	0	0	0	0	0	0	0.1061	0.1911	0
S10014	0	0.0208	0.0448	0.0942	0.135	0	0.0318	0.0154	0.0072	0.0152	0.0436	0.0597	0.0054	0	0	0	0.0381	0.0709	0.1989	2e-04	0	0	0	0	0	0	0	0	0	0	0	0.0475	0.1714	0
S10026	0	0.0361	0.0278	0.1363	0.0715	0	0.0125	0.0163	0.0038	0.027	0.0419	0.035	0.0084	0	0.0063	0.0064	0.0374	0.0624	0.1803	0.0164	0	0	0	0	0	0.0012	0	0	0	0	0	0.1426	0.1302	0
S10032	0	0.0377	0.0328	0.2047	0.0821	0	0.0211	0.022	0.0056	0.0134	0.0433	0.046	0.007	0	0	0	0.0316	0.0803	0.1455	0.0088	0	0	0	0	0	0.0055	0	0	0	0	0	0.0723	0.1404	0
S10036	0	0.007	0.0347	0.0773	0.0786	0	0.0164	0.0268	0.0097	0.0201	0.0415	0.0535	0.01	0	0	0.0015	0.0607	0.0747	0.2141	0	0.0011	0	0	0	0	0	0	0	0	0	0	0.0936	0.1788	0
S10042	0	0.0109	0.0535	0.1006	0.1026	0	0.0243	0.0214	0.0092	0.0117	0.0436	0.047	0.0155	0	0	0	0.0488	0.0798	0.1852	0.0037	0	0	0	0	0	0	0	0	0	0	0	0.0786	0.1634	0
S10044	0	0.0194	0.0298	0.0993	0.0687	0	0.0193	0.0265	0.0041	0.0219	0.0297	0.0363	0.015	0	0	0.0012	0.0452	0.0728	0.2176	0.0122	0	0	0	0	0	6e-04	0	9e-04	0	0	0	0.134	0.1342	0.0112
S10049	0	0.0374	0.0313	0.122	0.0766	0	0.0229	0.019	0.0146	0.0166	0.0365	0.0449	0.007	0	0	0.0024	0.0316	0.0675	0.1681	0.0081	0	0	0	0	0	0.0044	0	6e-04	0.0061	0	0	0.1294	0.1352	0.0178
S10057	0	0	0.074	0.0489	0.1248	0	0.0357	0.0154	0.0301	0.0125	0.0398	0.0788	0	0	0	0	0.0684	0.0777	0.1536	0	0	0	0	0	0	0	0	0	0	0	0	0.0279	0.2123	0
S10062	0	0.0027	0.049	0.155	0.0736	0	0.0166	0.0236	0.016	0.0177	0.0325	0.0524	0.0105	0	0	6e-04	0.0412	0.0733	0.157	0.0045	0	0	0	0	0	0	0	0	0	0	0	0.1086	0.1653	0
S10066	0	0	0.0388	0.1245	0.0659	0	0.0206	0.0192	0.0131	0.0089	0.0403	0.0502	0.0053	0	0	0	0.0399	0.0774	0.2512	0	0	0	0	0	0	0	0	0	0.0028	0	0	0.0813	0.1607	0
S10067	0	0.0315	0.0204	0.1136	0.1031	0	0.0207	0.0178	0.0116	0.013	0.039	0.0449	0.008	0	0	0.0016	0.0372	0.0619	0.1292	0.0079	0	0	0	0	0	0	0	0	0.0014	0	0	0.1764	0.1421	0.0187
S1007	0	0.0071	0.067	0.0896	0.0919	0	0.0184	0.0277	0.0154	0.0148	0.0452	0.0614	0.0161	0	0	0	0.0539	0.068	0.1848	0	0	0	0	0	0	0	0	0	0	0	0	0.0454	0.1934	0
S10073	0	0.0223	0.0244	0.1067	0.0868	0	0.0181	0.0162	0.0061	0.0156	0.0271	0.0433	0.0127	0	0	0	0.0456	0.0522	0.142	0.0039	0	0	0	0	0	0	0	0.0072	2e-04	0	0	0.155	0.1815	0.0331
