B.cells.naive	B.cells.memory	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated
average.A	34.0671334637905	24.7712687168754	0	3.55141416467581	0	10.2529079687898	0	0	0	0	0
average.B	40.4599106640783	32.0603297579032	0.254348020052565	5.53695008549093	0	10.9898410522964	0	0	0	-2.77396943313911	-66.9968979762502
average.C	3.55550013401012	6.70850517760913	46.0598840513449	44.1375453050554	22.1640923132586	45.1343975793325	-1.64726507129256	-39.6342080353437	0	-17.3371409695548	-57.1812181914908
average.D	6.4412662945962	5.02901760741358	44.686786651624	43.5257288581027	26.7866426174252	45.8803484264089	-12.7279130097663	-78.4378779347468	-4.04903116740233	-6.7090885233806	0
average.E	0	0	23.7836464861575	28.4989654432568	14.8772982638636	49.0410665125992	0	-7.02797281494237	0	-21.0309017931111	0
average.F	0	0	0	0	4.30536272109566	24.0290408592197	0	0	0	0	7.05913550662438
average.G	23.4418728644933	17.6591347276294	0	0	0	0	53.8803875413751	0	19.7072425249311	3.3265727954052	6.15405167299774
average.H	14.6175180986516	13.1618328084755	0	0	0	0	49.8720483552419	80.9580763514289	58.9468529770557	0	91.6332385480832
average.I	11.5981568360802	12.1548980315092	0	0	0	0	49.6306384807869	142.301187625566	65.6487689078201	0	12.7113367138503
average.J	34.7167243311098	33.3764705484135	59.2053457146267	55.3998839526305	31.9711474926911	43.9023229542152	-18.4038441877734	-31.5280712875761	-0.299116088221706	0	0
average.K	7.28276383933811	9.3920817467184	38.7521224439214	42.4134247261131	31.2484291088765	65.5830532643463	-34.7158001070353	-20.6645902664939	-36.6848791154275	-27.4433611491724	-60.650762428714
average.L	0	0	41.7775126724824	45.7503597002418	20.8383195846841	34.4631018729524	0	0	0	106.677047718271	113.570829723863
stdev.A	0.0271335026661233	0.013123985117305	0	0.0055181653245888	0	0.0113249596914121	0	0	0	0	0
stdev.B	0.0366492298177226	0.0213085071061417	0.00834555080237978	0.00613917250545103	0	0.0163876139123143	0	0	0	0.0739325125709367	0.176184685831701
stdev.C	0.0107375472069358	0.0183313243753196	0.0138317991650686	0.0166814503595299	0.0165090964436829	0.0213479887904661	0.0692463040945373	0.150270466054638	0	0.0502270783975281	0.186864662316201
stdev.D	0.0383037957160758	0.0240685876167621	0.00534797264047629	0.00698878814351642	0.0043416567354718	0.00522482895464736	0.140940363246393	0.11596503685748	0.0126712139811372	0.0530720536621517	0
stdev.E	0	0	0.00715326187571563	0.00528251265648091	0.0125629288604563	0.0124902755445922	0	0.144046776996445	0	0.0688458906808684	0
stdev.F	0	0	0	0	0.0117497146120127	0.00688998578659289	0	0	0	0	0.151632843355992
stdev.G	0.0132284263695367	0.0125003956502739	0	0	0	0	0.0485673267253982	0	0.0268757243392091	0.103218318076766	0.0881698297280522
stdev.H	0.0210107592727182	0.0182938002971824	0	0	0	0	0.092917391010985	0.0400144820157336	0.0241132728101553	0	0.0796351531040979
stdev.I	0.0453653880153651	0.0313623125753066	0	0	0	0	0.116353918500804	0.0233904539011404	0.0174996158801367	0	0.153635129116557
stdev.J	0.0151570289916357	0.00586055865174433	0.00701004313039147	0.00867335339152839	0.0103021562047569	0.00757048299951175	0.036567221998945	0.0731822699097702	0.023255385211668	0	0
stdev.K	0.0143449568846027	0.0142044071786649	0.00863794551953137	0.00931576013500385	0.0213488841067678	0.0149621072898085	0.0632840706026966	0.105916311422051	0.016401442841967	0.115460859453209	0.0600535802420403
stdev.L	0	0	0.004556490344911	0.00757603175453859	0.00370511999367362	0.00219003161224412	0	0	0	0.0597329167713379	0.0852251230773427
