Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
mix_1	0	NA	0	0	0	NA
mix_2	0	NA	0	0	0	NA
mix_3	NA	NA	0	0	0	0
mix_4	NA	NA	0	0	0	NA
mix_5	0	NA	0	0	0	0
mix_6	0	NA	0	0	0	NA
mix_7	NA	NA	0	0	0	0
mix_8	0	NA	0	0	0	NA
mix_9	0	NA	0	0	0	NA
mix_10	NA	NA	0	0	0	0
mix_11	0	NA	0	0	0	NA
mix_12	0	NA	0	0	0	NA
mix_13	NA	NA	0	0	0	0
mix_14	NA	NA	0	0	0	0
mix_15	NA	NA	0	0	0	0
mix_16	0	NA	0	0	0	0
mix_17	NA	NA	0	0	0	0
mix_18	0	NA	0	0	0	NA
mix_19	0	NA	0	0	0	NA
mix_20	0	NA	0	0	0	0
mix_21	NA	NA	0	0	0	0
mix_22	0	NA	0	0	0	NA
mix_23	NA	NA	0	0	0	NA
mix_24	0	NA	0	0	0	NA
mix_25	0	NA	0	0	0	NA
mix_26	0	NA	0	0	0	0
mix_27	0	NA	0	0	0	NA
mix_28	NA	NA	0	0	0	0
mix_29	0	NA	0	0	0	NA
mix_30	0	NA	0	0	0	NA
mix_31	0	NA	0	0	0	NA
mix_32	0	NA	0	0	0	NA
mix_33	0	NA	0	0	0	NA
mix_34	0	NA	0	0	0	NA
mix_35	0	NA	0	0	0	NA
mix_36	NA	NA	0	0	0	0
mix_37	NA	NA	0	0	0	0
mix_38	0	NA	0	0	0	0
mix_39	NA	NA	0	0	0	0
mix_40	0	NA	0	0	0	NA
mix_41	0	NA	0	0	0	NA
mix_42	NA	NA	0	0	0	0
mix_43	0	NA	0	0	0	0
mix_44	0	NA	0	0	0	0
mix_45	0	NA	0	0	0	NA
mix_46	0	NA	0	0	0	0
mix_47	0	NA	0	0	0	NA
mix_48	0	NA	0	0	0	NA
mix_49	0	NA	0	0	0	NA
mix_50	NA	NA	0	0	0	0
mix_51	0	NA	0	0	0	NA
mix_52	NA	NA	0	0	0	0
mix_53	0	NA	0	0	0	NA
mix_54	NA	NA	0	0	0	0
mix_55	0	NA	0	0	0	NA
mix_56	0	NA	0	0	0	0
mix_57	0	NA	0	0	0	NA
mix_58	0	NA	0	0	0	0
mix_59	0	NA	0	0	0	NA
mix_60	NA	NA	0	0	0	NA
mix_61	NA	NA	0	0	0	0
mix_62	NA	NA	0	0	0	0
mix_63	0	NA	0	0	0	NA
mix_64	0	NA	0	0	0	NA
mix_65	0	NA	0	0	0	NA
mix_66	0	NA	0	0	0	NA
mix_67	NA	NA	0	0	0	0
mix_68	0	NA	0	0	0	0
mix_69	0	NA	0	0	0	NA
mix_70	NA	NA	0	0	0	NA
mix_71	0	NA	0	0	0	NA
mix_72	NA	NA	0	0	0	0
mix_73	NA	NA	0	0	0	NA
mix_74	NA	NA	0	0	0	NA
mix_75	0	NA	0	0	0	NA
mix_76	0	NA	0	0	0	0
mix_77	0	NA	0	0	0	0
mix_78	0	NA	0	0	0	NA
mix_79	0	NA	0	0	0	NA
mix_80	NA	NA	0	0	0	0
mix_81	0	NA	0	0	0	0
mix_82	0	NA	0	0	0	NA
mix_83	0	NA	0	0	0	NA
mix_84	0	NA	0	0	0	NA
mix_85	0	NA	0	0	0	0
mix_86	0	NA	0	0	0	0
mix_87	0	NA	0	0	0	NA
mix_88	0	NA	0	0	0	0
mix_89	NA	NA	0	0	0	0
mix_90	0	NA	0	0	0	NA
mix_91	0	NA	0	0	0	NA
mix_92	0	NA	0	0	0	NA
mix_93	0	NA	0	0	0	NA
mix_94	0	NA	0	0	0	NA
mix_95	0	NA	0	0	0	NA
mix_96	0	NA	0	0	0	NA
mix_97	0	NA	0	0	0	NA
mix_98	0	NA	0	0	0	NA
mix_99	0	NA	0	0	0	0
mix_100	0	NA	0	0	0	NA
