	mix_1	mix_2	mix_3	mix_4	mix_5	mix_6	mix_7	mix_8	mix_9	mix_10	mix_11	mix_12	mix_13	mix_14	mix_15	mix_16	mix_17	mix_18	mix_19	mix_20	mix_21	mix_22	mix_23	mix_24	mix_25	mix_26	mix_27	mix_28	mix_29	mix_30	mix_31	mix_32	mix_33	mix_34	mix_35	mix_36	mix_37	mix_38	mix_39	mix_40	mix_41	mix_42	mix_43	mix_44	mix_45	mix_46	mix_47	mix_48	mix_49	mix_50	mix_51	mix_52	mix_53	mix_54	mix_55	mix_56	mix_57	mix_58	mix_59	mix_60	mix_61	mix_62	mix_63	mix_64	mix_65	mix_66	mix_67	mix_68	mix_69	mix_70	mix_71	mix_72	mix_73	mix_74	mix_75	mix_76	mix_77	mix_78	mix_79	mix_80	mix_81	mix_82	mix_83	mix_84	mix_85	mix_86	mix_87	mix_88	mix_89	mix_90	mix_91	mix_92	mix_93	mix_94	mix_95	mix_96	mix_97	mix_98	mix_99	mix_100
Adipocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B-cells	0.0129	0	0.1544	0.1889	0.1402	0.102	0.2525	0.2138	0.0313	0.2953	0.0214	0	0.304	0.3145	0.2581	0.1657	0.3949	0.0243	0.179	0.0891	0.2147	0.2113	0.2357	0	0.0255	0.0218	0.2224	0.1696	0.0932	0.1426	0.0766	0.1395	0.1522	0	0.0715	0.2615	0.2493	0.0872	0.2687	0.1611	0.025	0.2871	0	0.0485	0	0.1358	0.1675	0.2102	0.1731	0.2279	0.2029	0.3221	0.1996	0.2818	0.1857	0.1131	0	0.132	0	0.2604	0.228	0.1922	0.0026	0.1797	0.1305	0.1973	0.2776	0.0638	0.1695	0.3075	0.2423	0.3708	0.2768	0.2083	0.1827	0.0495	0.0802	0.1441	0.022	0.2336	0.1058	0.1789	0.14	0.1663	0.1147	0.0407	0.0784	0.157	0.145	0.0572	0.1373	0.1227	0	0	0.2041	0.1611	0.1057	0.1571	0.0995	0.143
Basophils	0.0142	0	0	0	0	0	0	0	0.0103	0	0.0278	0	0	0	0.0022	0	0	0.0014	0	0	0	0.0125	0	0.0109	0	0	0.0224	0	0.0025	1e-04	5e-04	0	0.0079	0	0.0073	0	0	0	0	0	0.0119	0	0	0.0027	0	0	0	0.0333	0.0098	0	0.0247	0	0.0075	0	0.0191	0	0	0.0011	0	0	0	0	0	0	0.0201	0.0189	0	0.0102	0	0.0137	0	0	0.0125	5e-04	0.0149	0	0	0.0069	0	0	0	0.0063	0.0236	0	0	0	0	0	0	0	0.0257	0	0.0018	0	0.0199	0.0195	7e-04	4e-04	0	0
CD4+ T-cells	0	0.0014	0.0538	0.0225	0.0111	0.0101	0.0197	0.0143	0.0124	0.0218	0.0049	0.02	0.0043	0.0124	0	0.0402	0.0313	0.0015	0.0074	0.0405	0.0237	0	0.021	0	0.0469	0.0398	0	0.0448	0.0139	0.0165	0.0344	0.0283	0.0194	0.0052	0.0057	0.0439	0.0427	0.0482	0	0.0343	0	0.0359	0.0216	0.0469	0.0543	0.0175	0.0235	0	0	0.0527	0	0.0242	0	0.0243	0.0011	0.0569	0.0299	0.0174	0.0025	0.0179	0.0727	0.0483	0.0215	0.0259	0.0052	0	0.02	0.013	0.0212	0	0	0.034	0	0.0266	0	0.0238	0.0582	0	0.0209	0.0257	0.0577	0.0088	0	0.04	0.0488	0.0499	0.0468	0.0289	0.044	0.0341	0	0.0355	0	0	0	0	0.0159	0.0219	0.0826	0.0351
CD4+ Tcm	0.0131	0.0106	0.1043	0.0535	0.0417	0.0332	0.0579	0.0359	0.0431	0.0465	0.035	0.0371	0.0291	0.0275	0.0053	0.0816	0.0781	0.005	0.0255	0.0843	0.0516	0.0022	0.0525	0	0.0818	0.1014	0	0.0912	0.0426	0.0436	0.071	0.0625	0.0519	0.024	0.0164	0.092	0.0844	0.1108	0.0308	0.0705	0.0116	0.082	0.0561	0.0978	0.0959	0.0396	0.0508	0	0	0.1028	0	0.0727	0.0053	0.0455	0.0153	0.1001	0.0636	0.0526	0.0134	0.0383	0.1341	0.1084	0.052	0.0575	0.0416	0	0.0654	0.0515	0.0476	0	0	0.0756	0	0.066	0	0.0641	0.1106	0.0065	0.0428	0.055	0.0993	0.0214	0.0047	0.0722	0.0835	0.1015	0.0845	0.0677	0.0898	0.0614	0.0076	0.0668	0.0037	0	0	0	0.0379	0.0498	0.1384	0.0686
CD4+ Tem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0.0082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4+ memory T-cells	0	0	0.0276	0.0111	0	0	0.0107	0.0064	0.0042	0.0056	0.0019	0.0028	0.0045	0	0	0.0195	0.0073	0	0	0.0084	0.0043	0	0.0106	0	0.0174	0.0224	0	0.0208	0.004	0.0048	0.0158	0.012	0.011	0	0	0.0295	0.027	0.0289	0	0.02	0	0.0168	0.004	0.0269	0.0196	0	0.0094	0	0	0.0246	0	0.0159	0.0013	0	2e-04	0.0235	0.0135	0.006	0	0.0031	0.0416	0.0315	0.0052	0.011	0.0049	0	0.011	0	0.0091	0	0	0.021	0	0.0181	0	0.0054	0.0274	0	0.0039	0.0048	0.0228	0	0.0013	0.0162	0.0197	0.0244	0.016	0.0128	0.0179	0.0089	0	0.0151	0	0	0	0	0.0031	0.0088	0.0408	0.0147
CD4+ naive T-cells	0	0	0.0339	0.0034	0	0	6e-04	0	2e-04	0	0	0.0069	0	0	0	0.0185	0.0018	0	0	0.0243	0.0056	0	0	0	0.0229	0.0231	0	0.0256	0	2e-04	0.015	0.01	0.0012	0	0	0.0202	0.0152	0.0294	0	0.0118	0	0.0111	0.0064	0.027	0.0332	0.0058	0.0025	0	0	0.0291	0	0.0041	0	0.0051	0	0.0315	0.0109	0.0061	0	0	0.0467	0.0276	0.0061	0.0036	0	0	0.0021	0.0036	6e-04	0	0	0.0105	0	0.003	0	0.0089	0.0378	0	0.0056	0.0086	0.0328	0	0	0.0167	0.0242	0.0321	0.0235	0.0093	0.0256	0.013	0	0.0125	0	0	0	0	1e-04	0.0023	0.0604	0.0138
CD8+ T-cells	0.0356	0.0231	0.0749	0.0508	0.0814	0.0561	0.0589	0	0.0524	0.0364	0.0107	0.0517	0.0416	0.0474	0.0727	0.0597	0.0666	0.0097	0.0489	0.1468	0.0797	0.0387	0.0157	0	0.0537	0.1175	0	0.1152	0.0526	0.053	0.0336	0.0657	0.016	0.0282	0.0593	0.011	0.0281	0.0915	0.0796	0	0.0451	0.0848	0.1002	0.0674	0.0568	0.1127	0.028	0	0.0194	0.065	0	0.0596	0.004	0.1017	0.0172	0.056	0.0411	0.0743	0.0618	0.0379	0.0711	0.0586	0.0473	0.0054	0.0515	0	0.0795	0.1214	0.0137	0	0	0.0118	0.0353	0.0086	0	0.0927	0.1188	0.0348	0.0382	0.0499	0.0592	0.0427	0	0.0559	0.068	0.0997	0.0462	0.0762	0.1072	0.055	0.0037	0.033	0	0.0331	0	0	0.0435	0.021	0.1161	0.0417
CD8+ Tcm	0.005	0.0034	0.0188	0.0093	0.0253	0.0114	0.0099	0	0.0093	0.0045	0	0.013	0.0014	0.0097	0.0151	0.016	0.0202	8e-04	0.0112	0.0564	0.0258	0.0032	0	0	0.0147	0.0393	0	0.0413	0.012	0.0113	0.0049	0.0176	0	0.0021	0.0146	0	0.0036	0.0273	0.0203	0	0.0093	0.0242	0.03	0.0226	0.0186	0.043	0.002	0	0	0.0228	0	0.011	0	0.0387	0	0.0161	0.0086	0.0226	0.0194	0.0053	0.025	0.0111	0.0098	0	0.0081	0	0.0214	0.0441	0	0	0	0	1e-04	0	0	0.0271	0.0445	0.0038	0.0086	0.0086	0.0176	0.0085	0	0.0168	0.0234	0.0361	0.0091	0.0206	0.0389	0.0169	0	0.0062	0	0.0057	0	0	0.0094	4e-04	0.0537	0.0077
