Mixture	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	P-value	Correlation	RMSE
A	0.0234768540594474	0	0.436226643040758	0	0	0.466638813727255	0.0230068230547526	0.0506508661177873	9999	0.0474962789816695	1.33316195227822
B	0.00554925394577107	0	0.396401566662112	0	0	0.467949382235222	0.0286606511170306	0.101439146039864	9999	0.0466799186358954	1.33869592737185
C	0	0	0.20748682322993	0	0.0725256335672223	0.395812170424893	0.0884650342236774	0.235710338554278	9999	0.0509184973912781	1.35003464208283
D	0	0	0.247744198665794	0	0	0.36702506339058	0.131642159471885	0.253588578471741	9999	0.0501126731537117	1.35020471652501
E	0	0	0.219402769677837	0	0.0408249206572825	0.412450670059702	0.0965034121279217	0.230818227477257	9999	0.0512427437765982	1.34896300659674
F	0	0	0.157580637004418	0	0	0.492695317272234	0.0745594237076115	0.275164622015736	9999	0.0472109524289223	1.35487983279718
G	0.0169106711458302	0	0.274259503758712	0	0.379978565370817	0.328851259724641	0	0	9999	0.0542660457879591	1.33927078277305
H	0.0738678744824927	0	0.529937990985223	0	0.0445060619133389	0.351688072618946	0	0	9999	0.0450438007799876	1.32654247417916
I	0.083164214962757	0	0.557390165585606	0	0.028683274982796	0.330762344468841	0	0	9999	0.0415862233407889	1.32726293680161
J	0	0	0.0792422164810634	0	0	0.264011093501379	0.225761389038525	0.430985300979032	9999	0.0518899586869607	1.36622003470342
K	0	0	0.0142413612380094	0	0	0.498412082970956	0.101783374807117	0.385563180983918	9999	0.0478889344613332	1.36500403986815
L	0	0	0.244098865375752	0	0.0486659301695005	0.42530538586913	0.0504637202894784	0.231466098296139	9999	0.0493387334849507	1.34849311062014
