Tool	Size	Time
DeconRNASeq	10	2.66885
quantiseq	10	19.35635
CIBERSORT	10	5.9083
MCP	10	0.7801
dtangle	10	0.60425
SAVANT	10	0.14025
AbsCIBERSORT	10	5.92085
GEDIT	10	3.02655
EPIC	10	1.37655
DCQ	10	2.0211
nnls	10	0.9824
DeconRNASeq	50	3.7641
quantiseq	50	54.5319
CIBERSORT	50	27.519
MCP	50	1.8677
dtangle	50	0.9513
SAVANT	50	0.4026
AbsCIBERSORT	50	27.1399
GEDIT	50	6.3924
EPIC	50	4.7836
DCQ	50	2.3854
nnls	50	0.999363636
DeconRNASeq	100	5.5578
quantiseq	100	84.5728
CIBERSORT	100	50.7229
MCP	100	3.2193
dtangle	100	1.3253
SAVANT	100	0.7218
AbsCIBERSORT	100	55.6342
GEDIT	100	10.6905
EPIC	100	9.0378
DCQ	100	2.9093
nnls	100	2.4449
DeconRNASeq	500	30.3614
quantiseq	500	860.2564
CIBERSORT	500	264.5818
MCP	500	15.0726
dtangle	500	6.1592
SAVANT	500	3.0464
AbsCIBERSORT	500	248.1644
GEDIT	500	47.1276
EPIC	500	43.0908
DCQ	500	9.942
nnls	500	6.9108
DeconRNASeq	1000	124.562
quantiseq	1000	895.4188
CIBERSORT	1000	552.238
MCP	1000	29.7018
dtangle	1000	11.1926
SAVANT	1000	5.9138
AbsCIBERSORT	1000	500.3602
GEDIT	1000	89.8604
EPIC	1000	82.5624
DCQ	1000	16.4776
nnls	1000	22.0328
DeconRNASeq	2526	553.617
quantiseq	2526	1731.58
CIBERSORT	2526	1610.851
MCP	2526	76.09
dtangle	2526	25.044
SAVANT	2526	13.9205
AbsCIBERSORT	2526	1667.8385
GEDIT	2526	212.212
EPIC	2526	202.5885
DCQ	2526	38.0935
nnls	2526	31.903
DeconRNASeq	5052	1411.676
quantiseq	5052	2750.436
CIBERSORT	5052	4054.37
MCP	5052	123.994
dtangle	5052	50.495
SAVANT	5052	25.899
AbsCIBERSORT	5052	3298.412
GEDIT	5052	461.64
EPIC	5052	397.96
DCQ	5052	67.903
nnls	5052	55.625
