	Tool	BatchSize	cpuSeconds	maxvmem
1	absCIBERSORT	10	6.13	1.934G
2	absCIBERSORT	10	6.251	1.018G
3	absCIBERSORT	10	6.026	1.934G
4	absCIBERSORT	10	5.043	1.958G
5	absCIBERSORT	10	6.366	446.363M
6	absCIBERSORT	10	6.193	441.543M
7	absCIBERSORT	10	5.574	0
8	absCIBERSORT	10	6.6	251.062M
9	absCIBERSORT	10	5.432	0
10	absCIBERSORT	10	5.697	0
11	absCIBERSORT	10	5.777	0
12	absCIBERSORT	10	6.398	1.476G
13	absCIBERSORT	10	6.154	403.742M
14	absCIBERSORT	10	6.288	431.156M
15	absCIBERSORT	10	5.288	579.031M
16	absCIBERSORT	10	6.369	1.018G
17	absCIBERSORT	10	5.472	1.958G
18	absCIBERSORT	10	5.466	1.958G
19	absCIBERSORT	10	5.595	1.958G
20	absCIBERSORT	10	6.298	1.476G
21	absCIBERSORT	50	27.952	2.076G
22	absCIBERSORT	50	28.797	2.076G
23	absCIBERSORT	50	28.257	1.582G
24	absCIBERSORT	50	28.712	2.076G
25	absCIBERSORT	50	28.22	2.076G
26	absCIBERSORT	50	21.733	1.454G
27	absCIBERSORT	50	28.331	1.582G
28	absCIBERSORT	50	28.703	2.076G
29	absCIBERSORT	50	21.663	1.600G
30	absCIBERSORT	50	29.031	2.076G
31	absCIBERSORT	100	44.767	2.110G
32	absCIBERSORT	100	58.489	2.087G
33	absCIBERSORT	100	57.862	2.087G
34	absCIBERSORT	100	56.983	2.087G
35	absCIBERSORT	100	58.133	1.590G
36	absCIBERSORT	100	50.816	2.110G
37	absCIBERSORT	100	66.292	1.590G
38	absCIBERSORT	100	56.33	2.087G
39	absCIBERSORT	100	47.718	2.135G
40	absCIBERSORT	100	58.952	2.087G
41	absCIBERSORT	500	217.122	2.947G
42	absCIBERSORT	500	240.002	2.793G
43	absCIBERSORT	500	240.735	2.947G
44	absCIBERSORT	500	242.299	2.947G
45	absCIBERSORT	500	300.664	2.924G
46	absCIBERSORT	1000	452.048	4.098G
47	absCIBERSORT	1000	482.393	4.098G
48	absCIBERSORT	1000	486.736	4.098G
49	absCIBERSORT	1000	489.822	4.098G
50	absCIBERSORT	1000	590.802	4.076G
51	absCIBERSORT	2526	1457.243	7.838G
52	absCIBERSORT	2526	1878.434	7.815G
53	absCIBERSORT	5052	3298.412	12.194G
54	CIBERSORT	10	5.467	1.493G
55	CIBERSORT	10	5.703	1.958G
56	CIBERSORT	10	6.254	1.018G
57	CIBERSORT	10	5.181	1.958G
58	CIBERSORT	10	5.968	443.066M
59	CIBERSORT	10	5.129	1.030G
60	CIBERSORT	10	6.105	1.018G
61	CIBERSORT	10	6.815	1.476G
62	CIBERSORT	10	5.454	579.023M
63	CIBERSORT	10	6.172	1.476G
64	CIBERSORT	10	5.514	0
65	CIBERSORT	10	6.359	1.935G
66	CIBERSORT	10	6.209	0
67	CIBERSORT	10	5.764	0
68	CIBERSORT	10	6.323	1.476G
69	CIBERSORT	10	4.913	446.105M
70	CIBERSORT	10	6.504	1.934G
71	CIBERSORT	10	6.365	1.476G
72	CIBERSORT	10	5.655	1.958G
73	CIBERSORT	10	6.312	431.723M
74	CIBERSORT	50	28.889	2.076G
75	CIBERSORT	50	35.248	2.076G
76	CIBERSORT	50	29.289	2.076G
77	CIBERSORT	50	21.863	2.099G
78	CIBERSORT	50	28.976	1.582G
79	CIBERSORT	50	21.836	1.100G
80	CIBERSORT	50	29.236	2.076G
81	CIBERSORT	50	28.965	2.076G
82	CIBERSORT	50	21.585	2.099G
83	CIBERSORT	50	29.303	2.076G
84	CIBERSORT	100	56.12	2.087G
85	CIBERSORT	100	56.501	2.087G
86	CIBERSORT	100	56.972	2.087G
87	CIBERSORT	100	43.367	2.110G
88	CIBERSORT	100	45.644	2.110G
89	CIBERSORT	100	43.495	1.608G
90	CIBERSORT	100	58.597	2.111G
91	CIBERSORT	100	44.769	2.110G
92	CIBERSORT	100	44.218	1.608G
93	CIBERSORT	100	57.546	2.087G
94	CIBERSORT	500	294.986	2.924G
95	CIBERSORT	500	214.607	2.793G
96	CIBERSORT	500	298.165	2.924G
97	CIBERSORT	500	217.499	2.947G
98	CIBERSORT	500	297.652	2.924G
99	CIBERSORT	1000	462.196	4.098G
100	CIBERSORT	1000	599.386	4.076G
101	CIBERSORT	1000	611.599	4.075G
102	CIBERSORT	1000	450.33	4.098G
103	CIBERSORT	1000	637.679	4.074G
104	CIBERSORT	2526	1390.819	7.838G
105	CIBERSORT	2526	1830.883	7.814G
106	CIBERSORT	5052	4054.37	9.170G
107	DCQ	10	2.051	689.660M
108	DCQ	10	1.962	514.156M
109	DCQ	10	1.944	536.621M
110	DCQ	10	2.269	0
111	DCQ	10	1.972	0
112	DCQ	10	2.077	557.715M
113	DCQ	10	1.947	539.371M
114	DCQ	10	2.662	0
115	DCQ	10	1.91	0
116	DCQ	10	2.065	481.566M
117	DCQ	10	1.924	0
118	DCQ	10	1.711	0
119	DCQ	10	1.982	654.082M
120	DCQ	10	1.966	523.754M
121	DCQ	10	1.931	0
122	DCQ	10	2.113	0
123	DCQ	10	2.034	689.539M
124	DCQ	10	1.95	0
125	DCQ	10	1.933	0
126	DCQ	10	2.019	583.816M
127	DCQ	50	2.314	0
128	DCQ	50	2.308	507.383M
129	DCQ	50	2.456	542.133M
130	DCQ	50	2.322	0
131	DCQ	50	2.543	599.781M
132	DCQ	50	2.335	702.707M
133	DCQ	50	2.348	207.281M
134	DCQ	50	2.405	562.840M
135	DCQ	50	2.383	509.965M
136	DCQ	50	2.44	0
137	DCQ	100	3.138	0
138	DCQ	100	2.851	588.172M
139	DCQ	100	3.1	0
140	DCQ	100	2.705	690.496M
141	DCQ	100	3.07	488.188M
142	DCQ	100	2.684	0
143	DCQ	100	3.133	607.852M
144	DCQ	100	2.822	595.254M
145	DCQ	100	3.011	653.531M
146	DCQ	100	2.579	530.797M
147	DCQ	500	10.164	690.145M
148	DCQ	500	8.804	779.832M
149	DCQ	500	10.525	811.184M
150	DCQ	500	9.887	779.891M
151	DCQ	500	10.33	779.703M
152	DCQ	1000	15.796	992.309M
153	DCQ	1000	18.023	1006.578M
154	DCQ	1000	15.235	970.473M
155	DCQ	1000	17.933	995.555M
156	DCQ	1000	15.401	962.367M
157	DCQ	2526	40.973	1.389G
158	DCQ	2526	35.214	1.390G
159	DCQ	5052	67.903	2.260G
160	DeconRNASeq	10	2.267	0
161	DeconRNASeq	10	3.297	512.594M
162	DeconRNASeq	10	3.226	579.301M
163	DeconRNASeq	10	1.978	594.797M
164	DeconRNASeq	10	2.14	0
165	DeconRNASeq	10	2.258	596.516M
166	DeconRNASeq	10	3.314	557.207M
167	DeconRNASeq	10	2.378	0
168	DeconRNASeq	10	2.016	593.980M
169	DeconRNASeq	10	2.111	532.383M
170	DeconRNASeq	10	2.605	0
171	DeconRNASeq	10	3.25	0
172	DeconRNASeq	10	3.16	514.160M
173	DeconRNASeq	10	2.085	579.430M
174	DeconRNASeq	10	2.462	0
175	DeconRNASeq	10	2.688	593.938M
176	DeconRNASeq	10	3.246	0
177	DeconRNASeq	10	3.982	0
178	DeconRNASeq	10	2.211	594.016M
179	DeconRNASeq	10	2.703	0
180	DeconRNASeq	50	3.391	549.086M
181	DeconRNASeq	50	3.647	0
182	DeconRNASeq	50	4.831	596.516M
183	DeconRNASeq	50	3.04	1.420G
184	DeconRNASeq	50	3.34	594.793M
185	DeconRNASeq	50	3.053	532.578M
186	DeconRNASeq	50	4.81	1.685G
187	DeconRNASeq	50	4.825	0
188	DeconRNASeq	50	3.219	1.433G
189	DeconRNASeq	50	3.485	612.320M
190	DeconRNASeq	100	5.543	595.938M
191	DeconRNASeq	100	6.413	585.137M
192	DeconRNASeq	100	6.701	554.621M
193	DeconRNASeq	100	4.153	1.469G
194	DeconRNASeq	100	5.402	594.020M
195	DeconRNASeq	100	4.847	594.035M
196	DeconRNASeq	100	6.597	583.680M
197	DeconRNASeq	100	6.186	594.008M
198	DeconRNASeq	100	4.273	1.471G
199	DeconRNASeq	100	5.463	624.406M
200	DeconRNASeq	500	22.264	1.762G
201	DeconRNASeq	500	57.176	1.762G
202	DeconRNASeq	500	28.05	1.949G
203	DeconRNASeq	500	21.827	968.234M
204	DeconRNASeq	500	22.49	1.699G
205	DeconRNASeq	1000	191.184	2.484G
206	DeconRNASeq	1000	56.933	2.136G
207	DeconRNASeq	1000	131.178	2.283G
208	DeconRNASeq	1000	53.283	2.136G
209	DeconRNASeq	1000	190.232	2.482G
210	DeconRNASeq	2526	522.448	4.551G
211	DeconRNASeq	2526	584.786	4.636G
212	DeconRNASeq	5052	1411.676	7.136G
213	dtangle	10	0.577	0
214	dtangle	10	0.56	0
215	dtangle	10	0.613	522.223M
216	dtangle	10	0.594	0
217	dtangle	10	0.689	514.160M
218	dtangle	10	0.61	0
219	dtangle	10	0.62	0
220	dtangle	10	0.616	0
221	dtangle	10	0.692	514.164M
222	dtangle	10	0.627	1.133M
223	dtangle	10	0.501	0
224	dtangle	10	0.51	0
225	dtangle	10	0.589	488.969M
226	dtangle	10	0.618	550.152M
227	dtangle	10	0.611	537.477M
228	dtangle	10	0.618	0
229	dtangle	10	0.626	207.156M
230	dtangle	10	0.6	531.090M
231	dtangle	10	0.681	0
232	dtangle	10	0.533	0
233	dtangle	50	0.851	0
234	dtangle	50	1.005	0
235	dtangle	50	0.924	509.969M
236	dtangle	50	0.957	542.504M
237	dtangle	50	1.017	524.281M
238	dtangle	50	1.023	0
239	dtangle	50	1.024	523.754M
240	dtangle	50	0.935	207.156M
241	dtangle	50	0.859	0
242	dtangle	50	0.918	534.305M
243	dtangle	100	1.334	509.969M
244	dtangle	100	1.313	535.996M
245	dtangle	100	1.309	0
246	dtangle	100	1.462	0
247	dtangle	100	1.42	0
248	dtangle	100	1.322	512.598M
249	dtangle	100	1.236	554.387M
250	dtangle	100	1.23	541.832M
251	dtangle	100	1.31	0
252	dtangle	100	1.317	0
253	dtangle	500	5.976	674.496M
254	dtangle	500	5.71	601.234M
255	dtangle	500	5.991	601.238M
256	dtangle	500	6.52	674.508M
257	dtangle	500	6.599	674.508M
258	dtangle	1000	11.329	901.496M
259	dtangle	1000	11.162	838.223M
260	dtangle	1000	11.059	838.227M
261	dtangle	1000	11.214	675.559M
262	dtangle	1000	11.199	805.816M
263	dtangle	2526	24.157	1.290G
264	dtangle	2526	25.931	1.290G
265	dtangle	5052	50.495	2.186G
266	EPIC	10	1.432	453.371M
267	EPIC	10	1.236	453.285M
268	EPIC	10	1.247	0
269	EPIC	10	1.436	0
270	EPIC	10	1.229	497.812M
271	EPIC	10	1.309	0
272	EPIC	10	1.36	0
273	EPIC	10	1.46	497.805M
274	EPIC	10	1.356	497.742M
275	EPIC	10	1.443	453.277M
276	EPIC	10	1.804	0
277	EPIC	10	1.381	0
278	EPIC	10	1.488	417.668M
279	EPIC	10	1.397	0
280	EPIC	10	1.278	497.832M
281	EPIC	10	1.337	0
282	EPIC	10	1.206	0
283	EPIC	10	1.449	501.766M
284	EPIC	10	1.345	0
285	EPIC	10	1.338	0
286	EPIC	50	4.673	528.348M
287	EPIC	50	5.311	534.539M
288	EPIC	50	4.468	409.020M
289	EPIC	50	4.776	524.398M
290	EPIC	50	4.621	528.355M
291	EPIC	50	4.573	438.215M
292	EPIC	50	4.728	530.543M
293	EPIC	50	4.892	480.504M
294	EPIC	50	4.388	0
295	EPIC	50	5.406	534.555M
296	EPIC	100	9.188	546.840M
297	EPIC	100	8.71	542.871M
298	EPIC	100	9.708	546.836M
299	EPIC	100	9.863	542.875M
300	EPIC	100	9.004	542.867M
301	EPIC	100	8.663	546.848M
302	EPIC	100	9.019	546.859M
303	EPIC	100	8.233	542.863M
304	EPIC	100	8.566	542.867M
305	EPIC	100	9.424	542.879M
306	EPIC	500	40.99	715.699M
307	EPIC	500	44.574	715.719M
308	EPIC	500	43.506	719.672M
309	EPIC	500	42.397	715.734M
310	EPIC	500	43.987	715.719M
