Tool	Size	Time
DeconRNASeq	10	4.0016
CIBERSORT	10	853.76275
MCP-counter	10	0.994
GEDIT	10	6.3747
SaVanT	10	0.18015
AbsCIBERSORT	10	811.5979
dtangle	10	1.50065
EPIC	10	1.5641
DCQ	10	2.3406
quanTIseq	10	19.35635
nnls	10	1.50805
DeconRNASeq	50	11.3375
CIBERSORT	50	4322.0538
MCP-counter	50	2.2328
GEDIT	50	14.3185
SaVanT	50	0.516
AbsCIBERSORT	50	4002.2656
dtangle	50	1.8253
EPIC	50	5.3693
DCQ	50	3.8182
quanTIseq	50	54.5319
nnls	50	5.442818182
DeconRNASeq	100	11.4658
CIBERSORT	100	8616.9269
MCP-counter	100	4.2489
GEDIT	100	20.9359
SaVanT	100	0.6882
AbsCIBERSORT	100	8390.8967
dtangle	100	2.9352
EPIC	100	10.4494
DCQ	100	5.2353
quanTIseq	100	84.5728
nnls	100	7.0727
DeconRNASeq	500	95.5474
CIBERSORT	500	38073.4868
MCP-counter	500	16.5988
GEDIT	500	87.3874
SaVanT	500	3.8674
AbsCIBERSORT	500	47668.677
dtangle	500	9.5296
EPIC	500	52.6208
DCQ	500	60.7874
quanTIseq	500	860.2564
nnls	500	34.9178
DeconRNASeq	1000	375.5458
CIBERSORT	1000	87700.4214
MCP-counter	1000	35.6118
GEDIT	1000	160.136
SaVanT	1000	9.259
AbsCIBERSORT	1000	85051.9508
dtangle	1000	15.9122
EPIC	1000	109.4068
DCQ	1000	114.031
quanTIseq	1000	895.4188
nnls	1000	101.7208
DeconRNASeq	2526	850.329
CIBERSORT	2526	149465.235
MCP-counter	2526	143.373
GEDIT	2526	483.6915
SaVanT	2526	15.1745
AbsCIBERSORT	2526	182123.22
dtangle	2526	55.008
EPIC	2526	276.89
DCQ	2526	173.742
quanTIseq	2526	1731.58
nnls	2526	157.7045
AbsCIBERSORT	5052	378444.04
CIBERSORT	5052	357493.509
DCQ	5052	865.34
DeconRNASeq	5052	2189.399
EPIC	5052	626.535
GEDIT	5052	1168.836
MCP-counter	5052	254.138
SaVanT	5052	50.874
dtangle	5052	114.21
quanTIseq	5052	2750.436
nnls	5052	476.565
