	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	0.1697	0.0527	0.264	0.5136	0.0	0
Mix_2	0.4448	0.1763	0.1915	0.1873	0.0	0
Mix_3	0.1024	0.0307	0.471	0.1829	0.213	0
Mix_4	0.1638	0.1988	0.4346	0.0939	0.1089	0
Mix_5	0.6399	0.0048	0.3316	0.0238	0.0	0
Mix_6	0.2766	0.0	0.1856	0.5379	0.0	0
Mix_7	0.2554	0.2622	0.2627	0.0169	0.2029	0
Mix_8	0.3871	0.265	0.0036	0.3049	0.0395	0
Mix_9	0.3814	0.1466	0.28	0.1625	0.0294	0
Mix_10	0.4615	0.0	0.1817	0.3075	0.0493	0
Mix_11	0.3244	0.3956	0.2128	0.0672	0.0	0
Mix_12	0.0636	0.0804	0.3295	0.4461	0.0805	0
Mix_13	0.5702	0.0665	0.1847	0.1052	0.0734	0
Mix_14	0.0628	0.1898	0.5079	0.0	0.2395	0
Mix_15	0.1811	0.4218	0.1586	0.1213	0.1172	0
Mix_16	0.3636	0.2133	0.0861	0.221	0.116	0
Mix_17	0.221	0.3073	0.1728	0.0991	0.1996	0
Mix_18	0.1878	0.6017	0.028	0.1477	0.0348	0
Mix_19	0.1377	0.0	0.2956	0.4578	0.1089	0
Mix_20	0.4143	0.0924	0.1207	0.3145	0.058	0
Mix_21	0.3665	0.052	0.0754	0.4304	0.0756	0
Mix_22	0.1524	0.0	0.226	0.5288	0.0928	0
Mix_23	0.5794	0.1769	0.096	0.1477	0.0	0
Mix_24	0.0	0.4315	0.0066	0.2742	0.2877	0
Mix_25	0.5455	0.154	0.1872	0.0209	0.0924	0
Mix_26	0.366	0.2765	0.1	0.0695	0.188	0
Mix_27	0.4266	0.0161	0.005	0.3405	0.2118	0
Mix_28	0.2954	0.1045	0.1599	0.3972	0.0429	0
Mix_29	0.4358	0.262	0.0785	0.0745	0.1493	0
Mix_30	0.2413	0.0431	0.5018	0.0018	0.2119	0
Mix_31	0.4165	0.2067	0.1203	0.1855	0.071	0
Mix_32	0.1771	0.4661	0.0238	0.2549	0.0782	0
Mix_33	0.0935	0.2779	0.1448	0.3001	0.1837	0
Mix_34	0.3398	0.0	0.1626	0.4827	0.0149	0
Mix_35	0.2834	0.2472	0.362	0.098	0.0093	0
Mix_36	0.3758	0.141	0.2347	0.1516	0.0969	0
Mix_37	0.1308	0.0041	0.4853	0.2139	0.1659	0
Mix_38	0.0804	0.1783	0.2816	0.39	0.0698	0
Mix_39	0.4488	0.0764	0.0181	0.4542	0.0026	0
Mix_40	0.3118	0.0005	0.4759	0.0974	0.1144	0
Mix_41	0.2475	0.0576	0.4809	0.214	0.0	0
Mix_42	0.3766	0.3002	0.0347	0.0842	0.2044	0
Mix_43	0.4353	0.0	0.2248	0.3047	0.0352	0
Mix_44	0.1316	0.1097	0.3793	0.3751	0.0044	0
Mix_45	0.1664	0.0333	0.1809	0.3176	0.3018	0
Mix_46	0.3932	0.0868	0.001	0.238	0.2811	0
Mix_47	0.2852	0.0	0.2193	0.431	0.0646	0
Mix_48	0.3945	0.2121	0.2203	0.1361	0.037	0
Mix_49	0.1006	0.228	0.6233	0.001	0.0472	0
Mix_50	0.1169	0.1953	0.0351	0.2674	0.3853	0
Mix_51	0.3712	0.276	0.1325	0.1821	0.0383	0
Mix_52	0.0193	0.0556	0.3435	0.1965	0.3851	0
Mix_53	0.3139	0.0714	0.1041	0.3845	0.1261	0
Mix_54	0.1228	0.0	0.4713	0.4059	0.0	0
Mix_55	0.0388	0.038	0.6029	0.1877	0.1326	0
Mix_56	0.1422	0.1035	0.0802	0.3409	0.3333	0
Mix_57	0.0	0.1257	0.6777	0.1966	0.0	0
Mix_58	0.1998	0.3489	0.1723	0.1248	0.154	0
Mix_59	0.0872	0.0	0.7295	0.1282	0.0551	0
Mix_60	0.5824	0.0714	0.0538	0.0	0.2925	0
Mix_61	0.5132	0.0006	0.2552	0.2249	0.0062	0
Mix_62	0.614	0.0016	0.3843	0.0	0.0	0
Mix_63	0.0753	0.0	0.4964	0.428	0.0003	0
Mix_64	0.3168	0.0	0.1326	0.4881	0.0626	0
Mix_65	0.3292	0.0355	0.1244	0.3928	0.1181	0
Mix_66	0.4207	0.2094	0.2607	0.0344	0.0748	0
Mix_67	0.5777	0.0	0.0999	0.3224	0.0	0
Mix_68	0.2045	0.1681	0.0434	0.292	0.2921	0
Mix_69	0.5718	0.0255	0.2108	0.1342	0.0577	0
Mix_70	0.1822	0.2263	0.083	0.2248	0.2837	0
Mix_71	0.2582	0.0	0.4198	0.1618	0.1602	0
Mix_72	0.1618	0.2955	0.0	0.4451	0.0976	0
Mix_73	0.0133	0.0969	0.6233	0.1272	0.1393	0
Mix_74	0.4583	0.0	0.2664	0.2753	0.0	0
Mix_75	0.2322	0.1411	0.5804	0.0463	0.0	0
Mix_76	0.2247	0.0826	0.5934	0.0418	0.0575	0
Mix_77	0.228	0.0915	0.2396	0.4408	0.0	0
Mix_78	0.0265	0.3062	0.4267	0.0	0.2406	0
Mix_79	0.0645	0.0	0.6474	0.2881	0.0	0
Mix_80	0.2854	0.3475	0.1657	0.2014	0.0	0
Mix_81	0.2782	0.0	0.3331	0.3032	0.0856	0
Mix_82	0.3508	0.1131	0.3764	0.0	0.1596	0
Mix_83	0.4501	0.0356	0.2341	0.244	0.0362	0
Mix_84	0.2831	0.1449	0.1093	0.3098	0.1529	0
Mix_85	0.295	0.2349	0.4445	0.0095	0.0162	0
Mix_86	0.1876	0.0	0.3882	0.3322	0.092	0
Mix_87	0.6567	0.0	0.115	0.2283	0.0	0
Mix_88	0.4438	0.2488	0.0	0.1502	0.1573	0
Mix_89	0.0578	0.0729	0.3541	0.4752	0.04	0
Mix_90	0.2593	0.0194	0.7056	0.0157	0.0	0
Mix_91	0.7319	0.0833	0.1427	0.0421	0.0	0
Mix_92	0.3178	0.0436	0.4182	0.2204	0.0	0
Mix_93	0.1663	0.3205	0.0	0.4141	0.0991	0
Mix_94	0.5261	0.2315	0.0262	0.1345	0.0818	0
Mix_95	0.2337	0.3068	0.3274	0.132	0.0	0
Mix_96	0.0956	0.3672	0.1736	0.1889	0.1747	0
Mix_97	0.3559	0.0	0.2937	0.3384	0.012	0
Mix_98	0.4174	0.018	0.0	0.5646	0.0	0
Mix_99	0.0	0.653	0.1521	0.018	0.1768	0
Mix_100	0.3046	0.0447	0.2094	0.4415	0.0	0
