Mixture	naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	P-value	Correlation	RMSE
A	0.114291296779045	0	0.430378013177842	0.191144646522557	0	0.032379074973419	0.231806968547137	0	9999	0.428871818408103	0.914328312864735
B	0.0995675937416325	0	0.454301188907318	0.194864875284777	0	0.0211572996052298	0.230109042461043	0	9999	0.430951034919154	0.911847805005267
C	0.0093432829863394	0	0.82012884410971	0.138963944972732	0	0	0.0177307062439039	0.0138332216873144	9999	0.489474023388738	0.874170487855958
D	0.00380990111416554	0	0.829017528651867	0.148403576197602	0	0	0.0180826380090389	0.000686356027326147	9999	0.57653402706183	0.820231083408067
E	0	0.0731425156889338	0.273379901023776	0.569065691411262	0	0	0.0844118918760291	0	9999	0.474440558293234	0.892707689148863
F	0	0.136180194331632	0.397209205611748	0.240815591049799	0	0	0.225795009006821	0	9999	0.345960462211028	0.959659294519595
G	0.0355712059506317	0.0529611841356101	0.490282625489478	0	0	0.0634294154550563	0.357755568969224	0	9999	0.361566187292818	0.981274019470386
H	0.0625855785672806	0.0582115823673799	0.344598664392672	0.0421369846099672	0	0.11502282613191	0.377444363930791	0	9999	0.354577139693249	1.01475194425086
I	0.0545465948188786	0.0596595433336095	0.342434209581414	0.0451514959401256	0	0.10713673670005	0.391071419625922	0	9999	0.344641847078232	1.02292602285588
J	0.0169641395996192	0	0.935206545559273	0.0113907048461913	0	0	0.0154593555944053	0.0209792544005107	9999	0.657340137795515	0.772391794575391
K	0	0.0460457616619623	0.279652712270317	0.656123570194272	0	0	0.0148066865259494	0.00337126934749982	9999	0.699100082506468	0.716641215586431
L	0	0.00948695447713993	0.965890252350116	0.00994769678820655	0	0.00667321052096266	0	0.00800188586357509	9999	0.545460905039181	0.841273759723978
